Instance ID,Lowest CPU Utilization,Highest CPU Utilization,Average CPU Utilization,Lowest Memory Utilization,Highest Memory Utilization,Average Memory Utilization,Lowest Disk Read BPS,Highest Disk Read BPS,Average Disk Read BPS,Lowest Disk Write BPS,Highest Disk Write BPS,Average Disk Write BPS
i-k1aecz2x6o6m47raf2ql,4.08%,50.40%,13.33%,60.38%,62.42%,61.39%,25.73 KB,4223.79 KB,362.42 KB,116.07 KB,6607.87 KB,2763.87 KB
i-k1a59t4efwqadthzvbv2,4.68%,51.52%,13.63%,56.29%,63.85%,59.04%,0.00 KB,2794.59 KB,247.20 KB,87.80 KB,8952.07 KB,2466.35 KB
i-k1acx85ys628pv21xtvl,8.52%,49.87%,19.37%,29.27%,33.28%,31.18%,0.07 KB,5076.32 KB,390.37 KB,142.67 KB,8094.13 KB,3113.75 KB
i-k1a2zw0o19dzxotsj727,7.88%,23.43%,19.11%,20.56%,21.24%,20.92%,56.73 KB,4928.93 KB,421.01 KB,727.53 KB,1256.80 KB,890.26 KB
i-k1a74l094z11ssegyqfj,10.20%,66.21%,60.52%,91.59%,91.76%,91.68%,4227.47 KB,14217.27 KB,10312.82 KB,336.40 KB,1587.27 KB,1129.19 KB
i-k1a50qnv60v65360f0lf,3.36%,11.97%,5.82%,35.48%,43.12%,38.20%,14.13 KB,80733.33 KB,2859.63 KB,488.00 KB,76965.93 KB,3966.68 KB
i-k1a6qpxemzhmwyxsbxj4,3.40%,4.04%,3.63%,17.82%,18.39%,18.20%,0.00 KB,72.93 KB,15.16 KB,31.53 KB,882.60 KB,126.75 KB
i-k1a6qpxemzhmwyxsbxj2,7.96%,9.95%,9.18%,19.17%,19.81%,19.56%,0.00 KB,83.33 KB,18.48 KB,23.67 KB,786.33 KB,134.52 KB
i-k1a6qpxemzhmwyxsbxj3,3.79%,5.06%,4.12%,17.15%,17.56%,17.40%,0.00 KB,30.47 KB,1.38 KB,35.80 KB,783.00 KB,121.55 KB
i-k1a6f8z5ll19s6ym2weo,3.49%,7.06%,4.73%,17.87%,18.39%,18.25%,0.00 KB,67.40 KB,14.33 KB,24.13 KB,315.73 KB,102.68 KB
i-k1a6f8z5ll19s6ym2wen,3.93%,4.65%,4.35%,19.06%,19.67%,19.53%,0.00 KB,90.93 KB,22.00 KB,35.73 KB,853.20 KB,128.57 KB
